No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram
506,@sla_metwidodo1111,kakak sama adek sama sama cantik aku suka sama dua dua,Non-bullying,5 April 2021,@maudyayunda
507,@nakhanadia12,rambut modd bagussss item kilauu,Non-bullying,5 April 2021,@maudyayunda
508,@itsme_lila25,cantik semua congrats msuk nominsi tc candler,Non-bullying,5 April 2021,@maudyayunda
509,@chrysputami,maudy enak bet cantik iya pinter iya,Non-bullying,5 April 2021,@maudyayunda
510,@kendaknyolah,kukira dedek diri mau mukul bang jer pake ukulele ternyata aku sa sa,Non-bullying,27 Februari 2021,@jeromepolin
511,@oneuldo_orenji12,bang jerome klo nyanyiny kek gini bagus suara ganyangkaaa,Non-bullying,27 Februari 2021,@jeromepolin
512,@weirdlifes_,sut kamu sangat lucu d nggemas,Non-bullying,27 Februari 2021,@jeromepolin
513,@misnasari26,bang seringsering dong buat vidio bareng sut dia kaya juga seneng ama bang jerom,Non-bullying,27 Februari 2021,@jeromepolin
514,@cutmustikadela,klu  buat video tapi dua sehari sama anak kecil hahah lucu juga gimana riweh,Non-bullying,27 Februari 2021,@jeromepolin
515,@aldy_rhmd_,muka cabul banget bg hahah,Bullying,26 April 2021,@eeericko
516,@donialviansaputraaa,raut muka terlihat seperti org ka judi d tidak rnah makan enak,Bullying,26 April 2021,@eeericko
517,@nurus_sobah_99,jerome boneka tau hahah,Non-bullying,17 Februari 2021,@jeromepolin
518,@gxjrx,mukbang makan sehat dong salad jepang gituuu,Non-bullying,17 Februari 2021,@jeromepolin
519,@itsme_inr,yakin dulu niat bg semoga sukses,Non-bullying,17 Februari 2021,@jeromepolin
520,@nikenwidd_,bang aku nonton kamu sete aku kerja jepang manfaat bgt konten jd gampang kalo mau nyari apa apa jepang,Non-bullying,17 Februari 2021,@jeromepolin
521,@olla.azizah,cum rumus et ga bisa pecahka bang,Non-bullying,17 Februari 2021,@jeromepolin
522,@can_kenzie_can,rut maju tpi semangat jang tak maju,Non-bullying,17 Februari 2021,@jeromepolin
523,@depi1310,pantes jessica bilang bang jerom uang,Non-bullying,17 Februari 2021,@jeromepolin
524,@lionessariexkunthi,aduhh susah klo urus sma jerome rumus matematika terus bahasan apakah daya riku lebih suka bhs inggris drpd matematika,Non-bullying,7 Maret 2021,@jeromepolin
525,@belumadajudullagi,kaya tulus muka klo liat,Non-bullying,7 Maret 2021,@jeromepolin
526,@_silnora05,jerome bagi trik biar bisa paham d ingat cepat rumus matematika dung,Non-bullying,7 Maret 2021,@jeromepolin
527,@wen_margareth,baru x baca caption harus mikir d pakai kalkulator cuyyy,Non-bullying,7 Maret 2021,@jeromepolin
528,@ayomindan_15,sumpah si kemeja jeans bik liat seger bgt mantap mantap,Non-bullying,15 Maret 2021,@jeromepolin
529,@ini.ataaaa,mirip ama aktor korea ma film reply 1988 jadi kaka jung hw,Non-bullying,15 Maret 2021,@jeromepolin
530,@michael.saputra2006,iya bang jer terlihat beda klo pake style gini lebih terlihat fresh anak gaul,Non-bullying,15 Maret 2021,@jeromepolin
531,@be_l.aa,klo style ke gini pas bang sma umur muda liat lbh fresh sesuai sma umur,Non-bullying,15 Maret 2021,@jeromepolin
532,@riskyapp,dewasa imutt aih cipaaaaaa,Non-bullying,6 Mei 2020,@syifahadjureal
533,@ryaamelliaa,maniss bangettt ngen pu senyum manis ka syifaaa,Non-bullying,6 Mei 2020,@syifahadjureal
534,@windasarimulyadi,nih orang manis bnget sihh ga rti lagi,Non-bullying,6 Mei 2020,@syifahadjureal
535,@isacgibran,kakak pinter nyanyi  suara bagus,Non-bullying,6 Mei 2020,@syifahadjureal
536,@ichafiii,gk sa kalo syifa cantik mamah cantik bgtt jujurr,Non-bullying,24 Mei 2020,@syifahadjureal
537,@erdizairaputri,lelaki ndapat km lelaki untung,Non-bullying,24 Mei 2020,@syifahadjureal
538,@raffajiah,kamu mirip bgt ayah kalo adik mirip bgt mama,Non-bullying,24 Mei 2020,@syifahadjureal
539,@rahmaaaaliaaaaa,kakak cantik sii tapi canti lagi kalo pake hijab,Non-bullying,24 Mei 2020,@syifahadjureal
540,@anisaanis62,gemeshh rasa kaya aku ngen cubit,Non-bullying,9 Juni 2020,@syifahadjureal
541,@elizabethkezia4u, paling cute ganteng parah kecil jg,Non-bullying,9 Juni 2020,@syifahadjureal
542,@frdaanii24_,ngen gw pacul mulut lo woii anjeng busuk,Bullying,3 Maret 2021,@lutiagizal
543,@salsabilangin,sering blg ke org artis cewek nurutku paling cantik syifa sama ziu,Non-bullying,10 Juni 2020,@syifahadjureal
544,@kylagluh,ka cipa tu uda cantik baik manis bgt pula manis tu lebih gula,Non-bullying,10 Juni 2020,@syifahadjureal
545,@patmisrisupatmi501,lihat sekilas  tampak jelas cantik syifa,Non-bullying,10 Juni 2020,@syifahadjureal
546,@ike_wulandari01,setuju g si dia tetep cntik bgt ski g pke make up aku g pke make up pucet bgt g makan setahunn,Non-bullying,17 Juni 2020,@syifahadjureal
547,@_biiibill,dahlahh cantik luar dalam k cippp,Non-bullying,17 Juni 2020,@syifahadjureal
548,@masanggaofficial,muka cantik tanpa make up hini bahagia bgt kali jadi suami bisa liat bidadari setiap hari,Non-bullying,17 Juni 2020,@syifahadjureal
549,@fettyfuriyanireal96,suka bgtt sm cipaa orang humble sm semua orang d banyak teman juga,Non-bullying,17 Juni 2020,@syifahadjureal
550,@itsme.imel__,artis remaja indonesia manis bgt kalo senyum cuma dia rasa nempel hati,Non-bullying,17 Juni 2020,@syifahadjureal
551,@dhivirandini,aku doa rempu baik nama nagita selalu sehat bahagia lahir bat d banyak sayang sm dia,Non-bullying,31 Mei 2021,@raffinagita1717
552,@yuki_takesy,rafathar mantull ni pulang gk jd inep karna gk ada temen mamany d rmh papany belum pulangg jd jaga d temen mama dulu  aa,Non-bullying,31 Mei 2021,@raffinagita1717
553,@hypelook.store,kultur kerja kaya gini nurut gw bagus si ga kapitalis banget tinggi juga ikut kerja misal vlog atau endors semoga gaji juga ga senjang si,Non-bullying,31 Mei 2021,@raffinagita1717
554,@mawarmelati6,pantas pada senang kerja rans mbak gigi gak bossy,Non-bullying,31 Mei 2021,@raffinagita1717
555,@um_ummah7,seneng lihat orang sukses eting al ngen sukses biar ada status instastory,Non-bullying,31 Mei 2021,@raffinagita1717
556,@etikawatianiek,smga semua kelg d crew sehat semua d rejeki trs lancar gigi,Non-bullying,31 Mei 2021,@raffinagita1717
557,@kadospesialmu.id,fokus ke nagita pas mau minum sempet baca doa keren bgt hasil di orang tua,Non-bullying,31 Mei 2021,@raffinagita1717
558,@ciky_yy,kasih  nagita pu suami kerjaan zinah terus,Bullying,31 Mei 2021,@raffinagita1717
559,@pipin_sumarini,koreaable banget face rafathar cakep ganteng manis banget,Non-bullying,31 Mei 2021,@raffinagita1717
560,@sumiyati_yudi2,masyaal rafathar tambah besar tambah ganteng bgt gk kuat liat alisny,Non-bullying,31 Mei 2021,@raffinagita1717
561,@ulfanadz,mirip siwon lama apa rasa gw,Non-bullying,31 Mei 2021,@raffinagita1717
562,@inaciac7,lucu asa kaka d adek,Non-bullying,29 Mei 2021,@raffinagita1717
563,@medianatambunan,wajah nagita kya umur 20,Non-bullying,29 Mei 2021,@raffinagita1717
564,@anita_sari1892,foto no edit edit saayy kamera nyaa bening model foto  juga bening gak rlu pakai filter tipu tipu,Non-bullying,29 Mei 2021,@raffinagita1717
565,@riostryn,look rafathar gak bisa pungkiri borong gen mama gigi semua,Non-bullying,29 Mei 2021,@raffinagita1717
566,@mraldiani,nagita masa kaya anak muda coba cantikk bangeett,Non-bullying,29 Mei 2021,@raffinagita1717
567,@aprillia_raffa,masyaal mamany cantik anakny ganteng rfect,Non-bullying,29 Mei 2021,@raffinagita1717
568,@azizah_rahman10,kaya adek kakak gigi liat muda banget,Non-bullying,29 Mei 2021,@raffinagita1717
569,@andra_jnsyah_14,tambah gede rafathar tambah pinter rafathar,Non-bullying,29 Mei 2021,@raffinagita1717
570,@dewitatarias,mama gigi rambut agak pirang tambah cantik d tampak lebih muda,Non-bullying,29 Mei 2021,@raffinagita1717
571,@ikakadamayanti,ootd mama gigi simple tapi eleg lihat masyaal,Non-bullying,31 Mei 2021,@raffinagita1717
572,@rainbowkidshop_,masyaal mamah gigi bening bet sehat selalu mamah gigi dn keluarga,Non-bullying,31 Mei 2021,@raffinagita1717
573,@amaliapuspitasari20,mama gigi kete gajah gajah seneng sampai ketawa ahhaha,Non-bullying,31 Mei 2021,@raffinagita1717
574,@nurainiikazulianaa,al ga tau knp ak suka setiap lihat nagita pake dress model cakep cakep,Non-bullying,31 Mei 2021,@raffinagita1717
575,@limcu_n,i see beauty everything mba gigi sehat selalu sama dede bayi,Non-bullying,31 Mei 2021,@raffinagita1717
576,@ens_gege,mama gigi cantik banget look younger th her age love mama gigi,Non-bullying,31 Mei 2021,@raffinagita1717
577,@deni_riski,semoga adek rafathar njadi anak tangguh kuat cerdas,Non-bullying,31 Mei 2021,@raffinagita1717
578,@desysr,pakai apa pake mama gigi selalu keceee,Non-bullying,31 Mei 2021,@raffinagita1717
579,@balizoo,terima kasih nagita  sudah support molly si gajah d satwasatwa bali zoo lain deng kunjungan sama keluarga,Non-bullying,31 Mei 2021,@raffinagita1717
580,@titiwinarni91,kaya ny gajah rasa aura positif mb gigi kelihat sumringah jg gajah loo,Non-bullying,31 Mei 2021,@raffinagita1717
581,@ratna_wahyuningrum28,manis banget mbak gigi masya al hamil semak sinar,Non-bullying,31 Mei 2021,@raffinagita1717
582,@dedehfp,mama gigi gapernah ga cantik kalo nurut aku,Non-bullying,31 Mei 2021,@raffinagita1717
583,@muhammadmarselnur,semoga sehat selalu bayi dalam kandung sama ibu,Non-bullying,31 Mei 2021,@raffinagita1717
584,@novaaa_nmc,cantik banget semoga sehat selalu kakak panut,Non-bullying,9 Mei 2021,@raisa6690
585,@silvahumairasadeli,masyaal selalu mpesona baik kaum adam mau kaum hawa,Non-bullying,9 Mei 2021,@raisa6690
586,@dwiwarochmah,gak ada orang la bangun tidur siang secantik sela ka yaya,Non-bullying,9 Mei 2021,@raisa6690
587,@malikah_06,tua muda muka mana cantik bngett mo nangiss am cantik terus ka yaya,Non-bullying,9 Mei 2021,@raisa6690
588,@dwihadianti,gapaham lagi cakeup natural masyaal,Non-bullying,9 Mei 2021,@raisa6690
589,@kroniktron,raisa mah tipe cantik tapi sop santun pakaian,Non-bullying,9 Mei 2021,@raisa6690
590,@rifdaahdr,ka yayaaa why are you always stunning pretty girl,Non-bullying,9 Mei 2021,@raisa6690
591,@donnnaaaa____,al ni orang apa ri cantik amatt,Non-bullying,30 April 2021,@raisa6690
592,@novidianprismaw,cantik banget aku her lihat samping kan kiri dep dll tetep cantik,Non-bullying,30 April 2021,@raisa6690
593,@audreyjizlia,bisa henti cakep ga kakk pusingggg,Non-bullying,30 April 2021,@raisa6690
594,@aqidahhasrida,cantik baju keren warna bik pangling,Non-bullying,30 April 2021,@raisa6690
595,@tracytrinita,sudah dongggg d sudah liked juga congratulations,Non-bullying,10 April 2021,@raisa6690
596,@hestipurwadinata,udaaaahh nontonnnnn lagu baju makeup d hairdo nyaaa sukaakkkk,Non-bullying,10 April 2021,@raisa6690
597,@rzl_40,raisa ak monoton jadi suka sering kek gini,Non-bullying,10 April 2021,@raisa6690
598,@anazd_k,dong lagi unyah cute banget,Non-bullying,10 April 2021,@raisa6690
599,@xmxexgxaxr,nyihir secantik gue rela kutuk jadi tokek laut,Non-bullying,10 April 2021,@raisa6690
600,@biannasution,am makan apa bisa cantik banget,Non-bullying,10 April 2021,@raisa6690
601,@dhinie_jm,al kek anak batita klo lg ambek manyun begitu gemes,Non-bullying,10 April 2021,@raisa6690
602,@ikaa6696,aku d sumpah bagus banget rasa liat cerita sney,Non-bullying,10 April 2021,@raisa6690
603,@atharidho_,lebih gak sop mukak babi,Bullying,3 Maret 2021,@lutiagizal
604,@ariessw,al begitu sempurna ciptaan satu,Non-bullying,17 Maret 2021,@raisa6690
605,@otiv_real,ragu cantik kek gini gmn kl yak yak cantik kek apa her,Non-bullying,17 Maret 2021,@raisa6690
606,@fahrirasihan,bu liat ragu tapi liat cantik,Non-bullying,17 Maret 2021,@raisa6690
607,@sessy_abramsz,warna paling bik raisa shinning rah hitam putih pink and emerald,Non-bullying,17 Maret 2021,@raisa6690
608,@shintashanditya,raisa pake baju rah sumpahh cantik bgttt,Non-bullying,17 Maret 2021,@raisa6690
609,@ocnalita,lirik ndek tp susah hafal pas awal awal begitu puter beberapa kali eh candu banget,Non-bullying,17 Maret 2021,@raisa6690
610,@nissaginting,demi apa yaya gk rnah ragu para ndengar lagu,Non-bullying,17 Maret 2021,@raisa6690
611,@ayyuintn,ka yaya kalo ragu tetep secantik yah,Non-bullying,17 Maret 2021,@raisa6690
612,@arsheilaa22,ragu cantik  apalagi serius,Non-bullying,17 Maret 2021,@raisa6690
613,@uswaaahs,ga alay ga muluk muluk natural sukaaaa,Non-bullying,28 Juli 2020,@isyanasarasvati
614,@yolasinamo,seru bgt gemoy tim kebun tim alam bgt,Non-bullying,28 Juli 2020,@isyanasarasvati
615,@denisyundaa,nikmat bisa nghirup oksigen deng bebas,Non-bullying,28 Juli 2020,@isyanasarasvati
616,@dessysintia_,slide kedua muka mau gaya apa tetep cantikk,Non-bullying,28 Juli 2020,@isyanasarasvati
617,@rahmatikarsyita,mba isyana foto gelap2 gini aesthetic bgt,Non-bullying,28 Juli 2020,@isyanasarasvati
618,@no_chuuuuu,mba isyana cantik suara bagus kompeten pula sukaaaa,Non-bullying,15 Agustus 2020,@isyanasarasvati
619,@dinaeka33,ga tau aku juga suka banget sama gaya isy,Non-bullying,15 Agustus 2020,@isyanasarasvati
620,@raskadipsy,kangen nonton konser isy secara lgsg ski bisa virtual cuma experience lebih dapat,Non-bullying,15 Agustus 2020,@isyanasarasvati
621,@astri.yanti22491,congrats ka  terus karya sukses d terus mnjd inpirasi kita semua,Non-bullying,04 April 2020,@isyanasarasvati
622,@hasana_usna,congrats kamu mang pantes ndapatkan,Non-bullying,04 April 2021,@isyanasarasvati
623,@kazuyaisaam,saya harap  panjang umur sehingga bisa jadi inspirasi untuk musisi seluruh indonesia saya suka musik indonesia deng ada isyana,Non-bullying,28 September 2020,@isyanasarasvati
624,@adepraagoy,cantik rada gesrek tapi banyak kelebihan semangat tetap produktif,Non-bullying,28 September 2020,@isyanasarasvati
625,@grapepush0a,gatau lagi rasa nonton wtf bener jkt ski virtual and thankyouu for the rformance sy selalu keren d cah tak rnah sekali ngecewa,Non-bullying,28 September 2020,@isyanasarasvati
626,@mahrani29,walau ga rnah lihat ka isyana live bener panggung tp aku terpesona bgt ama live virtual asli keren,Non-bullying,28 September 2020,@isyanasarasvati
627,@bekkkyyyyy,yash we the fest even virtual tapi tetep keren bgt syann huaaa energi dpt bgt,Non-bullying,28 September 2020,@isyanasarasvati
628,@isyanaku,keren banget walau sebentar tapi mantap abis tunggu karya selanjut stay safe and healthy isyana ku,Non-bullying,28 September 2020,@isyanasarasvati
629,@eitralala,makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang nyerah seperti kakak d tem musisi lain yaaa,Non-bullying,28 September 2020,@isyanasarasvati
630,@isyanation.batam,thank you juga sy seneng banget kemar semoga sete pandemi semua rencana lancar sy,Non-bullying,28 September 2020,@isyanasarasvati
631,@yolasinamo,hua seneng bgt kmrn walau cuma 35 nit tp seneng liat isy adaptasi kebiasa baruku semoga bisa lebih teratur maem tunggu karya selanjut kaka,Non-bullying,28 September 2020,@isyanasarasvati
632,@nikiwonoto,senang akhir indonesia bisa punya musisi idealis kualitas tinggi bisa terus karya  apresiasi oleh banyak orang,Non-bullying,20 Oktober 2020,@isyanasarasvati
633,@embunwibisono,harap bisa nghadir musisi dgn genre la dr sudah ada industri biar musik indonesia lebih warna,Non-bullying,20 Oktober 2020,@isyanasarasvati
634,@wardah_eka,congrats isy semoga semua impianimpi baik segera bisa terwujud aami,Non-bullying,20 Oktober 2020,@isyanasarasvati
635,@nurul.hikmah396,bener bener idola dr musisi pandang sebe mata sampe buat label musik sendiri congrats sy,Non-bullying,20 Oktober 2020,@isyanasarasvati
636,@syrobby_,congrats isy semoga karya apa laku kakak sukses teruss,Non-bullying,20 Oktober 2020,@isyanasarasvati
637,@erminah20,orang terlihat sangat sangat stres d gila,Bullying,3 Maret 2021,@lutiagizal
638,@sun.molorteam,gua kalai jadi tuh gaa gua jadi dia manusia lebih pante ga hidup orang dunia akhlak gaada tolol bangsat,Bullying,3 Maret 2021,@lutiagizal
639,@muyasashop,biasa aq nangis kalo lagu seiihh kalo nangis karna saking bagus lagu,Non-bullying,13 Februari 2021,@isyanasarasvati
640,@amalia.oktafina,definisi minat kete bakat kete kerja keras,Non-bullying,13 Februari 2021,@isyanasarasvati
641,@arfrakim, astaga si isyana keren banget bisa ada musisi lokal selera musik gini,Non-bullying,13 Februari 2021,@isyanasarasvati
642,@nikedamyan,mashaal cantik pinter jago nyanyi dn main alat musik pula neng  fans bener mah,Non-bullying,13 Februari 2021,@isyanasarasvati
643,@mentariprajna,gilaaaa gila gilaaaa tang kaki ekspresi n emosi tertuang adi suatu karya fantastis,Non-bullying,13 Februari 2021,@isyanasarasvati
644,@a.nadityaaa_,gosh tiap kali lihat isyana main alat musik kaya lihat jiwa beda rinding gila kaya kepribadian jadi serius bangett,Non-bullying,13 Februari 2021,@isyanasarasvati
645,@ana.dani,sumpah demi al bagus bangett kereennn rinding ak denger sampe abis tiba ampe netes air mata,Non-bullying,13 Februari 2021,@isyanasarasvati
646,@_sigesrek,aku putus untuk njadi fans isyana gila keren banget otak mereka dua bisa fungsi dg njalan rintah ke tang d kaki waktu sama,Non-bullying,13 Februari 2021,@isyanasarasvati
647,@safronlux.id,amzing isyanaa jujur aku amazed banget deng skill d minat isyana dalam musik ga cuma nyanyi tapi ma alat musik  jago banget,Non-bullying,13 Februari 2021,@isyanasarasvati
648,@rikzikmuktyana,paling iri liat orang keren maen alat musik d dalem banget nikmat main sendiri,Non-bullying,13 Februari 2021,@isyanasarasvati
649,@antoniusbennys,sampe ga bisa kata lagi buat isyana sangat sempurna org,Non-bullying,13 Februari 2021,@isyanasarasvati
650,@dikha.wirasathya,inimah bu ma alat musik lagi olahraga jari d kaki mah,Non-bullying,13 Februari 2021,@isyanasarasvati
